geneSymbol	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
MIR1302-11	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
FAM138A	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-34P13.7	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-34P13.8	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-34P13.13	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-34P13.9	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
AP006222.2	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP4-669L17.10	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP4-669L17.2	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP5-857K21.15	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP5-857K21.1	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP5-857K21.2	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP5-857K21.3	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP5-857K21.4	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP5-857K21.5	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-206L10.3	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-206L10.5	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-206L10.2	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-206L10.9	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
FAM87B	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
LINC00115	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-206L10.11	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
FAM41C	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-54O7.16	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-54O7.1	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-54O7.2	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-54O7.3	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-54O7.17	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-54O7.18	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RP11-465B22.5	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
RP11-465B22.8	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
RP5-902P8.12	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
RP5-902P8.10	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
RP4-758J18.13	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
