geneSymbol	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
OR4F5	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
AL627309.1	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
OR4F29	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
OR4F16	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
AL669831.1	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
AL645608.2	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
AL645608.1	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
SAMD11	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
NOC2L	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
KLHL17	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
PLEKHN1	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
C1orf170	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
HES4	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
ISG15	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
AGRN	45.0917717756148	55.7959681352459	51.1977490778688	55.9698786065574	52.377671772541	60.5891886270492	54.7150452766393	57.677324897541	54.1768247711322
RNF223	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
C1orf159	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
TTLL10	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
TNFRSF18	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
TNFRSF4	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
SDF4	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
B3GALT6	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
FAM132A	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
UBE2J2	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
SCNN1D	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
ACAP3	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
PUSL1	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
CPSF3L	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
GLTPD1	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
TAS1R3	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
DVL1	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
MXRA8	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
AURKAIP1	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
CCNL2	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
RP4-758J18.2	73.2544879120879	79.2112407592408	76.163128971029	83.2990092907093	82.4561454545454	79.1125999000999	80.2873365634366	74.1962728271728	78.4975277097902
