geneSymbol	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
CNN3	64.2830267540152	36.8493313647891	59.4434156420503	70.5836688695919	71.2395738953355	55.6423791516176	56.2222753169907	64.280317859064	59.8179986066818
VCAM1	62.1227359033824	73.4687595035916	44.1282701441415	46.4606330514724	61.2814988400885	58.9059659982874	32.4963276877884	50.6771322689215	53.6926654247092
S1PR1	56.4986458217459	69.5220627831628	39.589149040149	40.7399272241272	53.8799129149229	52.7131517131517	29.375966004266	48.157397040797	48.8095265677903
COL11A1	38.7436644679394	17.7448666797092	22.2920697696747	11.3176121373072	23.3067589613165	12.3966845191845	20.7761442032042	24.2682621702372	21.3557578635716
DENND2D	53.2206736788363	75.5405795564596	49.1024818272271	59.7805124340449	48.2240002814087	59.9052501691467	54.107717628448	52.9654370659522	56.6058315801904
CAPZA1	66.7243318681318	68.381436041736	66.698873026973	69.6645237873238	70.9899019203019	66.2358535908536	63.8349806637807	64.4149588744589	67.118107471695
RHOC	66.1128901898102	69.0135171295371	64.2302002997003	68.9410707958708	70.710054958375	64.5907553313353	63.8222242224442	62.6456955644356	66.2583010614386
OLFML3	60.4873841434428	68.0331375383238	63.3756862683294	64.2712070423829	60.6603286983132	67.3837070791278	50.0143960906909	60.0911297581728	61.789622077348
SYT6	64.3122926068437	65.8782826475722	65.9243155591661	66.3397065709016	66.2388240792175	65.9890384099417	56.7737292613979	62.1648131302763	64.2026252831647
CASQ2	58.6940400748784	47.319594712297	57.3000432637456	54.2723919743807	50.876143056943	51.6316834847396	44.8470188619791	52.3098392924832	52.1563443401809
MLLT11	72.9917242757243	74.1711593406593	76.1852734265734	77.83109000999	76.651741958042	72.740814985015	74.7404811188811	67.0307318681319	74.0428771228771
S100A16	66.2537897163706	69.8477874738305	65.7757970755331	68.3275160787039	71.0848268140555	66.9118210984668	69.4729070681492	62.111063646788	67.4731886214872
TPM3	67.398112482698	74.9350687360832	68.3471280671136	73.4034002359086	73.1265689936569	71.2038100080642	72.2090631501029	65.0737476860489	70.7121124199596
PAQR6	51.6445316626231	65.6270634679607	39.9047968317397	43.4239172427573	50.0668909176538	57.0173196346511	41.6840671642643	58.3918189353503	50.9700507321251
FCRL5	48.541733834412	59.6213807590514	36.036875299582	36.0023220651387	45.0471507175289	53.237600279815	35.9079525583421	50.4454629214387	45.6050598044136
DCAF8	54.4310252044252	76.6667523883524	54.3390768120768	67.0687338291338	53.2375991082992	67.2304652754653	60.9992929625929	56.9861670958671	61.3698890845266
FCGR2B	65.2062458719851	78.380555173398	62.901728021978	71.4444289353504	61.8927722099329	72.8271431711146	68.1893535214785	59.0286138111888	67.4838550895533
DUSP27	36.3978469559852	56.3266826291356	37.9431807016513	45.843222791914	34.0006149791385	59.3051917641182	36.9555829758477	43.9670649380032	43.8424234669742
SFT2D2	51.7703248157249	61.3713588762589	62.8682591489591	62.3846520641521	41.8376725652726	56.9704696060696	50.1346927882928	48.7888523044523	54.5157852711478
